173
cDNA_ROR1_gene	cDNA_ROR1_gene	lincRNA
cDNA_TSTD1_gene	cDNA_TSTD1_gene	lincRNA
cDNA_NME7_gene	cDNA_NME7_gene	lincRNA
cDNA_ATP1B1_gene	cDNA_ATP1B1_gene	lincRNA
cDNA_PDLIM1_gene	cDNA_PDLIM1_gene	lincRNA
cDNA_NANOG_gene	cDNA_NANOG_gene	lincRNA
cDNA_LTA4H_gene	cDNA_LTA4H_gene	lincRNA
cDNA_KLF5_gene	cDNA_KLF5_gene	lincRNA
cDNA_PSME1_gene	cDNA_PSME1_gene	lincRNA
cDNA_EMC9_gene	cDNA_EMC9_gene	lincRNA
cDNA_PSME2_gene	cDNA_PSME2_gene	lincRNA
cDNA_ESRRB_gene	cDNA_ESRRB_gene	lincRNA
cDNA_KATNBL1_gene	cDNA_KATNBL1_gene	lincRNA
cDNA_EMC4_gene	cDNA_EMC4_gene	lincRNA
cDNA_GOT2_gene	cDNA_GOT2_gene	lincRNA
cDNA_MYH10_gene	cDNA_MYH10_gene	lincRNA
cDNA_STAT3_gene	cDNA_STAT3_gene	lincRNA
cDNA_CNN2_gene	cDNA_CNN2_gene	lincRNA
cDNA_TCF3_gene	cDNA_TCF3_gene	lincRNA
cDNA_CARM1_gene	cDNA_CARM1_gene	lincRNA
cDNA_SPINT2_gene	cDNA_SPINT2_gene	lincRNA
cDNA_ACTN4_gene	cDNA_ACTN4_gene	lincRNA
cDNA_SOX11_gene	cDNA_SOX11_gene	lincRNA
cDNA_RTN4_gene	cDNA_RTN4_gene	lincRNA
cDNA_GULP1_gene	cDNA_GULP1_gene	lincRNA
cDNA_GBX2_gene	cDNA_GBX2_gene	lincRNA
cDNA_SOX12_gene	cDNA_SOX12_gene	lincRNA
cDNA_DNMT3B_gene	cDNA_DNMT3B_gene	lincRNA
cDNA_ERGIC3_gene	cDNA_ERGIC3_gene	lincRNA
cDNA_CPNE1_gene	cDNA_CPNE1_gene	lincRNA
cDNA_RBM12_gene	cDNA_RBM12_gene	lincRNA
cDNA_ROMO1_gene	cDNA_ROMO1_gene	lincRNA
cDNA_RBM39_gene	cDNA_RBM39_gene	lincRNA
cDNA_PHF20_gene	cDNA_PHF20_gene	lincRNA
cDNA_YWHAB_gene	cDNA_YWHAB_gene	lincRNA
cDNA_STAU1_gene	cDNA_STAU1_gene	lincRNA
cDNA_DDX27_gene	cDNA_DDX27_gene	lincRNA
cDNA_COL18A1_gene	cDNA_COL18A1_gene	lincRNA
cDNA_ATF4_gene	cDNA_ATF4_gene	lincRNA
cDNA_UBE2E1_gene	cDNA_UBE2E1_gene	lincRNA
cDNA_SOX2_gene	cDNA_SOX2_gene	lincRNA
cDNA_ANXA5_gene	cDNA_ANXA5_gene	lincRNA
cDNA_TUBB2B_gene	cDNA_TUBB2B_gene	lincRNA
cDNA_SOX4_gene	cDNA_SOX4_gene	lincRNA
cDNA_POU5F1_gene	cDNA_POU5F1_gene	lincRNA
cDNA_EPB41L2_gene	cDNA_EPB41L2_gene	lincRNA
cDNA_AKAP7_gene	cDNA_AKAP7_gene	lincRNA
1_CROP_AIF1L_dCas9_gene	1_CROP_AIF1L_dCas9_gene	lincRNA
2_CROP_ANXA5_dCas9_gene	2_CROP_ANXA5_dCas9_gene	lincRNA
3_CROP_ATP1B1_dCas9_gene	3_CROP_ATP1B1_dCas9_gene	lincRNA
4_CROP_CARM1_dCas9_gene	4_CROP_CARM1_dCas9_gene	lincRNA
